id,customer_name,amount,purchase_date
1,Richard Hill,58931.78,2023-12-31
2,Christopher Hernandez,97743.87,2024-12-27
3,Jennifer Johnson,20944.72,2024-05-30
4,Shawna Miller,302.44,2024-05-23
5,NULL,47188.27,2025-03-21
6,Amy Dean,48328.12,2023-12-26
7,James Warner,70039.58,2024-07-28
8,Jasmine Munoz,43108.07,2024-04-29
9,Timothy Aguilar,57532.25,2024-10-05
10,Kim Jackson,98905.74,NULL
11,Jeffrey Cole,38396.18,NULL
12,Johnny Russell,98914.03,2023-10-28
13,Cody Tran,21554.74,2025-02-07
14,Robert Peters,59761.33,2023-11-29
15,Dawn Lee,2000000000000,2024-02-12
16,Joseph Stone,39729.12,2024-11-25
17,Stephen Neal,33310.92,2024-01-18
18,Daniel Rios,77970.49,2024-05-08
19,Gregory Sexton,34223.72,2023-08-24
20,Anthony Alvarez,4455.95,2025-07-22
21,Melissa Johnson,9636.30,2025-05-04
22,James Webb,76035.31,2024-07-08
23,Melanie Hughes,NULL,2023-12-22
24,Mario Wu,38935.89,2024-09-12
25,Jared White,NULL,2024-09-18
26,George Castaneda,57419.64,2025-06-19
27,Jessica Golden,78879.78,2023-12-19
28,NULL,34617.07,2024-09-10
29,Jennifer Sharp,92862.69,2023-08-24
30,Lawrence Ortega,22469.99,2025-08-01
31,Diane Ruiz,2284.32,2025-01-25
32,Molly Simpson,1518.12,2025-04-19
33,Beverly Cunningham,99774.37,NULL
34,Natasha Fields,3782.18,2025-01-10
35,Paul Duran,22585.96,2024-11-18
36,Pamela Harris,55829.76,2025-07-07
37,Ryan West,66879.14,2024-08-15
38,Stephen Huang,54392.39,2023-10-01
39,Melanie Clark,84632.87,NULL
40,David Rodriguez,64675.03,2025-03-16
41,Marcus Dunn,25725.28,2023-09-15
42,Nicole Perry,NULL,2025-01-21
43,Beth Richardson,13106.04,2023-11-05
44,Donna Sullivan,18517.29,2025-01-30
45,Frank Romero MD,40098.26,2023-12-15
46,Nichole Oliver,41579.28,2024-05-07
47,Lori Marks,68137.46,NULL
48,Candace Davis,11603.58,2024-07-14
49,Diana Moore,40577.12,2024-01-22
50,Oscar Phillips,22123.78,2024-03-02
51,Randall Hill,25325.81,NULL
52,Donald Morales,29872.09,2025-07-02
53,Dwayne Smith,97946.36,2024-05-18
54,Charlotte Knight,9699.86,2024-08-18
55,Anna Smith,33195.68,2025-03-29
56,Brandon Hogan,64433.82,2025-03-12
57,Sean Davis,43807.19,2024-10-12
58,Catherine Hall,9325.69,2024-12-27
59,George Jefferson,11850.56,2024-08-17
60,Jimmy Miller,13021.59,2023-08-18
61,Lisa Jenkins,33796.29,NULL
62,Jennifer Aguilar,40978.94,2023-09-24
63,Charles Russo,NULL,2025-06-06
64,Amanda Phillips,64229.08,2023-09-24
65,NULL,93258.75,2025-07-09
66,Cheryl Todd,62447.40,2025-03-26
67,Darrell Delacruz,3652.48,2024-05-12
68,Lisa Miller,8544.21,2024-11-04
69,Christina Evans,27319.92,2024-04-26
70,Trevor Scott,66217.76,2023-12-18
71,Gwendolyn Farmer,94995.47,2024-02-01
72,Kimberly Perez DVM,95780.82,2025-06-10
73,John Kirby,55914.59,2024-11-20
74,Thomas Jordan,13871.64,2024-01-09
75,Jorge Livingston,89657.99,2023-08-15
76,Jessica Reynolds,67953.48,2025-02-17
77,Katherine Edwards,2179.99,2025-03-07
78,Dennis Benjamin,69302.31,2025-04-29
79,Peter Guzman,39105.05,2023-11-08
80,Robert Pena,34037.03,2024-04-20
81,Shane Henderson,68356.23,2023-12-07
82,Tanya Huffman,NULL,2025-04-27
83,William Thompson,31286.41,NULL
84,Regina Smith,64041.71,2023-08-31
85,Melissa Greer,30946.58,2025-05-12
86,Lisa Brennan,NULL,2024-04-12
87,Destiny Brown,99580.98,NULL
88,Louis Thompson,25416.50,2024-10-23
89,Steven Rodriguez,4654.23,2024-07-27
90,Carrie Mason,76529.43,2025-02-23
91,James Smith,28644.18,2024-03-02
92,Brian Heath,32777.25,2023-11-10
93,Timothy Smith,98244.23,NULL
94,Nathan Nichols,53943.39,2024-06-24
95,Beth Heath,22486.51,NULL
96,Robert Oliver,58401.90,2025-07-19
97,Katrina Harper,NULL,2025-01-09
98,Christina Flores,NULL,2025-01-14
99,NULL,31252.09,NULL
100,Chelsea Taylor,NULL,2023-12-13
101,Isaiah Hopkins,49652.26,2024-06-28
102,Lawrence Barnett,48591.63,2023-11-29
103,Diane Smith,42752.33,2025-04-07
104,Janet Martinez,809.57,2025-04-03
105,Angela Garcia,NULL,2024-08-06
106,Chad Parker,97394.43,2024-11-09
107,Jason Hanson,94308.13,2023-12-17
108,Jay Johnson,16631.11,2024-03-28
109,Paul Reynolds,22375.70,2023-10-15
110,Edward Carpenter,36194.82,NULL
111,Nicole Flores,NULL,2023-12-08
112,Jaclyn Jennings,1560.40,2024-03-12
113,Carrie Boyd,21761.17,2025-06-27
114,Matthew Brown,NULL,2025-02-17
115,Kelli Scott,63595.29,2023-10-21
116,Jason Waller,32687.88,2024-02-23
117,Nathan Armstrong,69501.78,2024-03-24
118,NULL,90606.56,2024-02-24
119,Timothy Rice,24450.33,2024-01-28
120,John Mays,16082.69,2024-11-04
121,Robert Johnson,88037.91,2025-06-05
122,Sarah Davies,1805.12,2024-11-15
123,Luis Reid,NULL,2023-10-14
124,Shelia Gonzalez,38834.66,2025-06-12
125,Tina Ware,270.98,2024-06-27
126,Andrew Carroll,78843.27,2024-02-06
127,Jennifer Hayes,86047.74,2024-06-22
128,Jessica Glass,11097.35,2023-08-13
129,Michelle Scott,62714.63,2024-10-23
130,Jim Payne,88319.22,2024-11-04
131,Jessica Wright,61112.07,2024-12-21
132,Makayla Brown,34059.36,2025-06-14
133,Sharon Reed,-297.91,NULL
134,Stephanie Vance,74913.54,2023-12-29
135,Christopher May,67321.08,2023-10-14
136,Peter Anderson,NULL,2024-11-21
137,Michael Edwards,86263.96,2024-03-14
138,Phillip Douglas,75404.42,2025-02-02
139,Travis Foster,1661.27,2024-04-22
140,Lauren Jones,50058.83,2025-01-20
141,Thomas Davis,47467.94,2025-04-15
142,Jennifer Mendez,38028.41,2024-11-26
143,Angela Douglas,27358.47,2024-06-12
144,Tony Huff,40341.16,2024-06-24
145,Robert Fisher,38866.09,2023-10-08
146,Diane Singh,5784.83,2023-12-07
147,Peter Dyer,NULL,2023-11-19
148,Gary Hughes,3298.67,2024-04-27
149,Stephanie Myers,95126.08,2024-01-05
150,Adam Williams,18851.92,2024-11-22
151,Nicole Lynch,7738.64,2024-08-11
152,NULL,47832.70,NULL
153,Cristina Adams,36687.39,2025-07-13
154,Nicholas Smith,92168.89,NULL
155,Marie Green,90195.44,2024-03-12
156,Jenna Wang,36260.83,2024-03-28
157,Brad Rodgers,28442.56,2023-10-03
158,Megan Gallegos,7501.96,2023-09-20
159,Jennifer Meyer,84351.26,2024-02-08
160,Brett Carter,18278.36,2024-11-06
161,Ryan James,84085.47,2025-06-05
162,Andrew Peters,33142.40,2024-07-13
163,Joseph Barber,38197.90,NULL
164,Mary Garcia,NULL,2024-02-22
165,James Martinez,5386.40,2024-09-24
166,Danielle Fleming,17207.54,2024-07-15
167,Jeffrey Price,23867.72,NULL
168,Jonathan Farley,16573.68,2025-05-20
169,Brady Schmitt,6293.58,2024-03-04
170,Matthew Henry,78214.70,2024-11-15
171,Elizabeth Chavez,80299.11,2023-11-13
172,David Nichols,81815.69,2023-11-28
173,Timothy Ramirez,98017.89,2024-04-16
174,Kyle Baker,11456.21,NULL
175,Mark Molina,NULL,2024-09-08
176,Troy Horton,87305.01,2025-05-03
177,John Nguyen,6065.90,2025-06-11
178,Justin Bush,88333.94,2024-12-18
179,Deanna Dominguez,21565.09,2024-02-29
180,Ricky Diaz,54625.22,2025-01-19
181,Susan Jennings,35325.22,2023-12-24
182,Christina Stanley,95900.61,2023-09-09
183,Ralph Potter,29124.26,2024-04-25
184,Patrick King,59368.42,2024-02-24
185,William Washington,79296.32,2025-06-29
186,Jessica Doyle,99493.21,2024-05-05
187,Brittany Davis,95711.84,2023-10-20
188,Miguel Lewis,56539.72,2024-10-16
189,Tina Patterson,86860.53,2023-09-06
190,Katherine Green,48250.74,2025-02-19
191,Elizabeth Mccullough,14410.62,2024-10-13
192,Angel Fernandez,9816.48,2025-03-20
193,Ann Sandoval,24982.57,2023-09-12
194,Danielle Simon,14528.75,2023-08-14
195,Renee Leonard,50345.13,2025-07-30
196,Nicholas King,59431.59,2023-12-17
197,Katie Simpson,NULL,2025-05-24
198,Mrs. Felicia Ramirez,7900.78,2025-06-19
199,Ashley Park,84050.13,2023-11-11
200,Hannah Williams,NULL,2024-10-08
201,Kelly Ferguson,71337.59,2023-08-15
202,Evelyn Lara,63861.61,2024-08-13
203,Lauren Wilson,87045.55,2023-12-26
204,Yvonne Johnson,14962.84,2025-01-29
205,Jessica Baker,21838.83,2024-10-06
206,Stefanie Neal,62911.05,2024-06-06
207,Austin White DVM,39745.87,NULL
208,Susan Castro,73279.70,2024-06-24
209,Shawn Decker,79356.03,2025-06-26
210,Elizabeth Morgan,33928.41,2025-06-13
211,James Nash,50261.65,2025-04-29
212,Stanley Dixon,35014.38,2025-06-23
213,Nicole Saunders,NULL,2024-05-30
214,Richard Brooks,NULL,2024-01-31
